"","datetime","country","shape","city"
"1",NA,"us","cylinder","san marcos"
"2",NA,NA,"light","lackland afb"
"3",NA,"gb","circle","chester (uk/england)"
"4",NA,"us","circle","edna"
"5",NA,"us","light","kaneohe"
"6",NA,"us","sphere","bristol"
"7",NA,"gb","circle","penarth (uk/wales)"
"8",NA,"us","disk","norwalk"
"9",NA,"us","disk","pell city"
"10",NA,"us","disk","live oak"
"11",NA,"us","circle","hawthorne"
"12",NA,"us","fireball","brevard"
"13",NA,"us","disk","bellmore"
"14",NA,"us","unknown","manchester"
"15",NA,"us","oval","lexington"
"16",NA,"us","circle","harlan county"
"17",NA,"us","disk","west bloomfield"
"18",NA,"us","disk","niantic"
"19",NA,NA,"light","bermuda nas"
"20",NA,NA,"light","willow beach"
"21",NA,"us","other","hudson"
"22",NA,"gb","disk","cardiff (uk/wales)"
"23",NA,"us","light","hudson"
"24",NA,"us","light","north charleston"
"25",NA,"us","oval","washougal"
"26",NA,"gb","cigar","stoke mandeville (uk/england)"
"27",NA,"us","other","san antonio"
"28",NA,"us","light","louisville"
"29",NA,"us","rectangle","elmont"
"30",NA,"us","chevron","poughkeepsie"
"31",NA,NA,"triangle","saddle lake (canada)"
"32",NA,"us","oval","san diego"
"33",NA,"us","unknown","security"
"34",NA,"us","sphere","houston"
"35",NA,"us","unknown","dallas"
"36",NA,"us","light","manchester"
"37",NA,NA,"disk","gisborne (new zealand)"
"38",NA,"us","circle","houston"
"39",NA,"us","other","traverse city"
"40",NA,"us","formation","white plains"
"41",NA,"gb","triangle","leeds (uk/england)"
"42",NA,NA,"chevron","holmes/pawling"
"43",NA,NA,"disk","manilla (rr#1) (canada)"
"44",NA,"us","triangle","milwaukee"
"45",NA,"us","unknown","new gloucester"
"46",NA,"us","light","boulder"
"47",NA,"us","unknown","seattle (ballard area)"
"48",NA,"us","disk","calabasas"
"49",NA,"us","triangle","centralia"
"50",NA,NA,"triangle","kranklin"
"51",NA,NA,"unknown","pense (canada)"
"52",NA,"us","triangle","ashburn"
"53",NA,"us","unknown","frisco"
"54",NA,"us","triangle","harrisburg"
"55",NA,"us","formation","panama city"
"56",NA,"us","unknown","stafford"
"57",NA,"us","cigar","seymour"
"58",NA,"us","unknown","weatherford"
"59",NA,NA,"sphere","zlatoust (russia)"
"60",NA,"us","light","peoria"
"61",NA,"us","other","carthage"
"62",NA,NA,"cigar","mercedies"
"63",NA,"us","rectangle","burnt hills"
"64",NA,"us","light","pinebergen"
"65",NA,"ca","sphere","toronto (greater toronto area) (canada)"
"66",NA,NA,NA,"puerto rico (puerto rico)"
"67",NA,"us",NA,"milwaukee"
"68",NA,"us",NA,"oakland"
"69",NA,"us","triangle","higginsville"
"70",NA,NA,"light","lake macquarie (nsw&#44 australia)"
"71",NA,"us","light","charleston"
"72",NA,"us","cylinder","monroe county"
"73",NA,"us","delta","connersville"
"74",NA,"us","sphere","mesa"
"75",NA,"us","triangle","bonaire"
"76",NA,"us","other","austin"
"77",NA,NA,"disk","turin (italy)"
"78",NA,"us","changing","hollywood"
"79",NA,"us","fireball","phoenix (north part)"
"80",NA,"us","cylinder","elgin"
"81",NA,"us","cigar","las vegas"
"82",NA,"us","circle","las vegas"
"83",NA,NA,"triangle","nyc/westchester area"
"84",NA,"us","triangle","spokane (about 30 miles sw of&#44i-90&#44 maybe mm 254)"
"85",NA,"us","light","mooresville"
"86",NA,"ca","egg","st. john&#39s (canada)"
"87",NA,"us","fireball","delano"
"88",NA,"us","changing","martinez"
"89",NA,NA,"egg","st. agnes de dundee (canada)"
"90",NA,"us","unknown","kansas city"
"91",NA,"us","other","dallas"
"92",NA,"us","fireball","san diego"
"93",NA,"us","sphere","kennewick"
"94",NA,"us","circle","hayward"
"95",NA,"us","light","ashland (at our home)"
"96",NA,"us","light","rachel"
"97",NA,"us","sphere","humphrey"
"98",NA,NA,"flash","dorset (uk/england)"
"99",NA,NA,"triangle","casey key (north end of)"
"100",NA,"us","chevron","elgin"
"101",NA,"us","oval","lewiston"
"102",NA,"us","oval","perryville"
"103",NA,NA,"flash","carnival cruise ship (paradise) (caribbean)"
"104",NA,"us","other","boynton beach"
"105",NA,"ca","cylinder","victoria (canada)"
"106",NA,NA,"triangle","jueanu"
"107",NA,NA,"oval","valley park area of st. louis"
"108",NA,"us","light","brinktown"
"109",NA,"us","light","florence"
"110",NA,"us","unknown","seattle (west)"
"111",NA,"us","diamond","port orchard"
"112",NA,"us","triangle","rockwell city"
"113",NA,"au","formation","sydney (nsw&#44 australia)"
"114",NA,"ca","other","vancouver (canada)"
"115",NA,"us","circle","hayward"
"116",NA,"us","rectangle","ottumwa"
"117",NA,"us","changing","fresno"
"118",NA,"us","triangle","phoenix"
"119",NA,"us","triangle","virginia beach"
"120",NA,"us","flash","hayward"
"121",NA,"us","unknown","philomath"
"122",NA,"au","circle","adelaide (pt. wakefield) (south australia)"
"123",NA,"us","sphere","seattle"
"124",NA,"ca","unknown","victoria (canada)"
"125",NA,"us","other","cincinnati"
"126",NA,"us","circle","portland"
"127",NA,NA,"egg","bahamas"
"128",NA,"au","cross","burnie (tasmania) (australia)"
"129",NA,NA,"light","new buffulo"
"130",NA,"us","oval","alhambra"
"131",NA,"us","sphere","indianapolis"
"132",NA,"us","other","centreville"
"133",NA,"us","light","grand view"
"134",NA,"us","oval","temperance"
"135",NA,"us","formation","crescent beach"
"136",NA,"us","light","albuquerque"
"137",NA,NA,"unknown","bickerton (near wetherby) (uk/england)"
"138",NA,"us","sphere","gleason"
"139",NA,"us","triangle","mahwah"
"140",NA,NA,"other","worthington st. forest"
"141",NA,"ca","changing","portage la prairie (canada)"
"142",NA,"us","sphere","terre haute"
"143",NA,"us","oval","indianapolis"
"144",NA,"ca","unknown","nobel (canada)"
"145",NA,"us","circle","morgantown"
"146",NA,"us","unknown","berkeley"
"147",NA,"us","sphere","rock island"
"148",NA,NA,"oval","kedainiai (lithuania)"
"149",NA,NA,"formation","chateauqua"
"150",NA,"us","circle","ripley"
"151",NA,"us","flash","faribault"
"152",NA,"us","light","mansfield"
"153",NA,"us","light","columbia"
"154",NA,"us","sphere","gleason"
"155",NA,"us","other","seattle"
"156",NA,"us","other","apache junction"
"157",NA,"us","oval","north miami beach"
"158",NA,"us",NA,"edgewater"
"159",NA,"us","egg","los angeles"
"160",NA,"us","triangle","loretto"
"161",NA,"gb","formation","newtown (uk/wales)"
"162",NA,"us","unknown","lewisburg"
"163",NA,"us","other","north miami beach"
"164",NA,"us","light","east wenatchee"
"165",NA,"us","light","hendersonville"
"166",NA,"us","disk","brainerd"
